category,sub_category,product_name,total_revenue,total_profit,avg_margin_pct,total_units,order_count,revenue_rank
Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,-113.2606,-70.5392156862745,3,2,253
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,780.3302,4.487920168067228,35,8,17
Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,-126.44099999999996,-10.089869281045752,27,6,43
Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,15.049,-12.806372549019605,26,8,37
Furniture,Bookcases,Bestar Classic Bookcase,1897.8102,-612.9386999999999,-46.713235294117645,31,8,122
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,135.58870000000002,2.88235294117647,34,9,77
Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,-117.882,-14.285714285714288,9,1,198
Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",729.2339999999999,48.6156,-36.88888888888889,4,3,209
Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,-208.6504,-7.815126050420168,34,8,67
Furniture,Bookcases,Bush Mission Pointe Library,748.8608,24.156800000000004,0.7843137254901956,6,3,208
Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,-12.6882,-10.588235294117647,1,1,333
Furniture,Bookcases,Bush Somerset Collection Bookcase,1263.9569999999999,-56.3214,-13.955882352941176,12,4,166
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.376,-97.4064,-63.555555555555564,14,3,219
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,-190.8522,-210.0,3,1,350
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",1473.2982000000002,73.71539999999999,2.779411764705882,18,6,145
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878,-20.293,-7.441176470588236,32,9,152
Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,11046.609,90.17640000000002,0.7352941176470589,27,6,6
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.87040000000002,6.000000000000001,8,2,73
Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,1474.308,-191.86200000000002,-26.785714285714285,22,4,144
Furniture,Bookcases,"Hon Metal Bookcases, Black",1570.0775999999998,-26.972399999999993,-20.808823529411764,30,5,141
Furniture,Bookcases,"Hon Metal Bookcases, Gray",851.76,229.9752,27.0,12,2,196
Furniture,Bookcases,"Hon Metal Bookcases, Putty",1320.228,362.70779999999996,25.449999999999996,19,5,160
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,566.4674,4.558823529411765,31,7,46
Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.842,-133.1092,-23.66666666666666,21,6,210
Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.195,147.0942,2.3176470588235274,22,5,171
Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197,-975.0988,-82.91386554621849,37,7,91
Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.804,-12.290999999999997,1.5625,9,4,228
Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.344,-78.36359999999999,-12.928571428571427,9,2,176
Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,424.90000000000003,27.193599999999996,12.249999999999998,6,2,250
Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308,-68.1096,-5.529411764705882,18,5,120
Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059,-78.637,-1.7794117647058827,28,10,83
Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161,-170.83299999999997,-20.441176470588232,17,4,87
Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,-755.7516,-19.11764705882353,21,6,74
Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.9180000000001,-285.9484,-19.43014705882353,12,4,136
Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668,-767.7436,-28.71764705882353,22,5,85
Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000001,-6.214705882352941,24,5,2
Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.759,410.352,15.426470588235293,15,4,98
Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,489.37919999999997,-70.8312,-7.470588235294118,4,2,236
Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.858,-9.93719999999999,-3.7647058823529416,17,6,195
Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.074,106.47,11.764705882352942,14,3,202
Furniture,Bookcases,Sauder Barrister Bookcases,754.7336,-294.7672,-63.45588235294118,16,3,207
